date,open,close,high,low,volume
2024-01-02,11.08,11.05,11.17,10.95,178667.07
2024-01-03,11.02,11.0,11.06,10.91,170135.55
2024-01-04,11.01,10.92,11.01,10.84,133388.48
2024-01-05,11.02,10.83,11.11,10.77,170986.69
2024-01-08,10.8,10.62,10.87,10.62,121701.74
2024-01-09,10.61,10.73,10.84,10.53,155319.33
2024-01-10,10.73,10.66,10.81,10.55,84885.61
2024-01-11,10.66,10.79,10.88,10.59,104711.38
2024-01-12,10.77,10.84,10.98,10.77,105094.21
2024-01-15,10.79,10.65,10.81,10.59,136865.06
2024-01-16,10.62,10.64,10.68,10.46,129622.63
2024-01-17,10.58,10.38,10.62,10.37,102073.46
2024-01-18,10.34,10.32,10.35,9.97,182692.59
2024-01-19,10.24,10.17,10.42,10.17,81285.62
2024-01-22,9.97,9.65,10.09,9.62,184761.93
2024-01-23,9.61,9.68,9.71,9.26,201756.39
2024-01-24,9.8,9.95,9.98,9.58,167116.73
2024-01-25,9.95,10.16,10.19,9.9,159748.11
2024-01-26,10.15,10.16,10.34,10.14,114203.13
2024-01-29,10.15,10.07,10.24,10.03,100100.67
2024-01-30,10.01,9.78,10.09,9.74,96569.41
2024-01-31,9.79,9.54,9.85,9.52,115770.41
2024-02-01,9.42,9.3,9.58,9.29,148292.69
2024-02-02,9.33,8.89,9.43,8.56,186266.0
2024-02-05,8.74,8.44,8.87,8.12,255536.46
2024-02-06,8.38,9.1,9.21,8.2,264622.56
2024-02-07,9.11,9.74,9.8,9.08,271037.62
2024-02-08,9.68,9.84,10.23,9.68,283408.15
2024-02-19,9.98,9.73,10.02,9.61,369514.23
2024-02-20,9.75,9.77,9.85,9.56,185915.31
2024-02-21,9.68,10.04,10.22,9.65,325785.2
2024-02-22,10.01,10.09,10.12,9.91,173291.86
2024-02-23,10.11,10.07,10.17,9.89,219440.28
2024-02-26,10.03,10.05,10.19,10.0,159101.58
2024-02-27,10.06,10.23,10.26,10.01,193543.77
2024-02-28,10.19,9.94,10.48,9.94,230318.34
2024-02-29,9.92,10.25,10.26,9.85,164663.23
2024-03-01,10.26,10.31,10.39,10.18,173719.06
2024-03-04,10.29,10.27,10.34,10.18,149096.58
2024-03-05,10.22,10.44,10.46,10.1,222607.26
2024-03-06,10.37,10.41,10.47,10.27,158080.1
2024-03-07,10.43,10.46,10.81,10.41,255094.04
2024-03-08,10.46,10.48,10.61,10.34,120716.86
2024-03-11,10.42,10.6,10.62,10.4,137316.87
2024-03-12,10.6,10.54,10.65,10.44,161423.25
2024-03-13,10.52,10.68,10.79,10.48,192413.16
2024-03-14,10.74,10.62,10.9,10.54,173912.39
2024-03-15,10.66,10.96,10.96,10.49,288640.63
2024-03-18,11.0,10.97,11.08,10.87,207678.4
2024-03-19,10.96,10.94,11.09,10.89,193290.12
2024-03-20,10.89,10.99,11.05,10.87,171222.66
2024-03-21,11.04,11.24,11.39,10.9,245141.76
2024-03-22,11.17,11.14,11.31,11.08,196542.18
2024-03-25,11.07,10.93,11.33,10.92,203926.8
2024-03-26,10.97,10.91,11.04,10.69,178463.74
2024-03-27,10.88,10.56,10.91,10.52,171198.16
2024-03-28,10.5,10.75,10.84,10.5,158377.99
2024-03-29,10.81,10.99,11.07,10.8,145006.51
2024-04-01,11.12,11.08,11.31,11.03,204823.82
2024-04-02,11.08,11.27,11.33,11.03,243558.66
2024-04-03,11.37,11.58,11.65,11.27,334653.8
2024-04-08,11.74,11.31,11.92,11.14,683940.56
2024-04-09,11.24,11.41,11.5,11.18,288291.97
2024-04-10,11.42,11.39,11.48,11.19,294034.87
2024-04-11,11.22,11.59,11.84,11.17,377617.04
2024-04-12,11.64,11.68,11.79,11.49,319744.47
2024-04-15,11.88,12.16,12.23,11.71,585115.88
2024-04-16,11.9,11.99,12.29,11.87,664119.83
2024-04-17,12.02,12.44,12.56,11.89,502557.89
2024-04-18,12.19,12.4,12.48,12.17,376470.51
2024-04-19,12.3,12.67,12.74,12.3,405607.47
2024-04-22,12.68,12.56,12.87,12.44,378466.19
2024-04-23,12.35,11.82,12.36,11.8,384643.59
2024-04-24,11.76,12.17,12.21,11.55,293325.91
2024-04-25,12.19,12.41,12.53,12.08,242790.65
2024-04-26,12.34,12.44,12.56,12.27,181986.18
2024-04-29,12.09,12.08,12.28,11.64,383879.6
2024-04-30,12.08,11.98,12.21,11.87,208723.56
2024-05-06,11.98,12.35,12.45,11.88,250993.55
2024-05-07,12.38,13.28,13.54,12.36,589437.77
2024-05-08,13.24,12.94,13.24,12.86,238351.8
2024-05-09,12.93,13.37,13.56,12.9,308921.16
2024-05-10,13.38,13.36,13.55,13.2,197855.23
2024-05-13,13.14,13.02,13.2,12.79,256629.19
2024-05-14,13.03,13.02,13.16,12.89,161647.43
2024-05-15,12.87,12.83,12.95,12.73,156032.06
2024-05-16,12.94,12.75,13.08,12.68,177752.67
2024-05-17,12.74,13.1,13.12,12.68,241177.0
2024-05-20,13.29,13.33,13.48,13.04,295149.07
2024-05-21,13.51,12.87,13.64,12.79,283007.22
2024-05-22,12.89,12.84,13.05,12.8,179881.26
2024-05-23,12.53,12.33,12.55,12.26,227314.25
2024-05-24,12.15,12.11,12.37,12.08,167189.76
2024-05-27,12.13,12.66,12.74,12.1,208482.77
2024-05-28,12.64,12.29,12.74,12.24,147188.29
2024-05-29,12.18,12.4,12.57,12.15,142326.29
2024-05-30,12.68,12.37,12.76,12.28,222918.93
2024-05-31,12.22,12.15,12.44,12.11,138929.2
2024-06-03,12.07,11.98,12.16,11.86,134273.63
2024-06-04,12.06,12.42,12.45,11.92,154281.97
2024-06-05,12.36,12.12,12.41,12.12,132567.03
