ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
688235.SH,20250514,20250331,交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF),3500000.0,0.2499,3.042,0.0,开放式投资基金
688235.SH,20250514,20250331,"BakerBrothersLifeSciences,L.P.及其联属实体",115749859.0,8.2657,,-9526751.0,一般企业
688235.SH,20250514,20250331,广州高新区科技控股集团有限公司,4476355.0,0.3196,3.8906,-314099.0,一般企业
688235.SH,20250514,20250331,上海混沌投资(集团)有限公司,3210100.0,0.2292,2.7901,,投资公司
688235.SH,20250514,20250331,中国建设银行股份有限公司-工银瑞信前沿医疗股票型证券投资基金,3000122.0,0.2142,2.6075,100000.0,开放式投资基金
688235.SH,20250514,20250331,中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金,3581772.0,0.2557,3.1131,,开放式投资基金
688235.SH,20250514,20250331,"AmgenInc.,安进公司",246269426.0,17.5862,,0.0,一般企业
688235.SH,20250514,20250331,"HHLRFund,L.P.及其联属实体",92805741.0,6.6273,,-32240000.0,一般企业
688428.SH,20250514,20250331,中国银行股份有限公司-平安医疗健康灵活配置混合型证券投资基金,9406234.0,0.5336,3.5324,,开放式投资基金
688428.SH,20250514,20250331,招商银行股份有限公司-兴全合润混合型证券投资基金,12039154.0,0.683,4.5212,,开放式投资基金
688428.SH,20250514,20250331,中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金,9067019.0,0.5144,3.405,,开放式投资基金
688428.SH,20250514,20250331,SunlandBioMedLtd与JisongCui(崔霁松)家族,126600282.0,7.1827,,0.0,一般企业
688428.SH,20250514,20250331,HKSCCNOMINEESLIMITED,856006175.0,48.5658,,-1686000.0,一般企业
688428.SH,20250514,20250331,SunnyViewHoldingsLimited与RenbinZhao(赵仁滨)家族,144717893.0,8.2106,,0.0,一般企业
688428.SH,20250514,20250331,"HHLRFund,L.P.及其一致行动人",208671222.0,11.839,,0.0,一般企业
688428.SH,20250514,20250331,中国建设银行股份有限公司-富国精准医疗灵活配置混合型证券投资基金,12582004.0,0.7138,4.7251,-241364.0,开放式投资基金
688428.SH,20250514,20250331,中国农业银行股份有限公司-鹏华医药科技股票型证券投资基金,15213454.0,0.8631,5.7133,-3591459.0,开放式投资基金
688428.SH,20250514,20250331,KingBridgeInvestmentsLimited及其一致行动人,158588612.0,8.9975,,0.0,一般企业
688235.SH,20250514,20250331,CapitalResearchandManagementCompany及其联属实体,83908640.0,5.9919,,-12477251.0,一般企业
688235.SH,20250514,20250331,香港中央结算有限公司,8587610.0,0.6132,7.4639,1877023.0,一般企业
688599.SH,20250430,20250331,天合星元投资发展有限公司,45340012.0,2.0804,2.0804,0.0,投资公司
688599.SH,20250430,20250331,江苏清海投资有限公司,35156527.0,1.6131,1.6132,0.0,投资公司
688599.SH,20250430,20250331,中国工商银行股份有限公司-易方达上证科创板50成份交易型开放式指数证券投资基金,43838126.0,2.0115,2.0115,-1765216.0,开放式投资基金
688599.SH,20250430,20250331,吴春艳,122855128.0,5.6371,5.6372,0.0,自然人
688599.SH,20250430,20250331,深圳市宏禹信息技术有限公司,108968215.0,4.9999,5.0,0.0,一般企业
688599.SH,20250430,20250331,高纪凡,264164914.0,12.1211,12.1212,0.0,自然人
688599.SH,20250430,20250331,江苏盘基投资有限公司,295495418.0,13.5587,13.5588,0.0,投资公司
688599.SH,20250430,20250331,招商银行股份有限公司-华夏上证科创板50成份交易型开放式指数证券投资基金,61632833.0,2.828,2.828,-9788180.0,开放式投资基金
688599.SH,20250430,20250331,华福资本管理有限公司,233247120.0,10.7025,10.7025,0.0,资产管理公司
688234.SH,20250430,20250331,中信证券股份有限公司-嘉实上证科创板芯片交易型开放式指数证券投资基金,3698738.0,0.8607,1.2312,-891.0,开放式投资基金
688234.SH,20250430,20250331,中国工商银行股份有限公司-易方达上证科创板50成份交易型开放式指数证券投资基金,6915843.0,1.6094,2.3021,-278272.0,开放式投资基金
688234.SH,20250430,20250331,香港中央结算有限公司,4548062.0,1.0584,1.514,1859840.0,一般企业
688234.SH,20250430,20250331,招商银行股份有限公司-华夏上证科创板50成份交易型开放式指数证券投资基金,9684080.0,2.2536,3.2236,-1967933.0,开放式投资基金
688234.SH,20250430,20250331,哈勃科技创业投资有限公司,27262500.0,6.3443,9.0751,0.0,风险投资公司
688234.SH,20250430,20250331,上海铸傲企业管理中心(有限合伙),12900000.0,3.002,4.2942,,一般企业
